L1	L2	L3	L4	R1	R2	R3	R4	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount
1	#	1	#	0	#	0	#	3	0.238	0.751	3	103.93	24986	1736	0.5		1090	1452
1	#	#	#	#	0	#	0	2	0.237	0.75	2	98.86	24984	1760	0.38		2177	2904
0	#	0	#	0	1	0	#	1	1	1	12	112.95	24934	1779	0.62		723	723
1	1	#	1	1	#	#	0	2	0.238	0.751	2	105.09	24910	1781	0.62		545	726
0	#	0	#	#	0	0	#	0	0.262	0.765	4	102.87	24953	1834	0.5		1175	1536
1	#	1	#	#	1	#	1	3	1	1	19	125.77	24994	1854	0.5		1356	1356
1	#	1	#	1	1	1	#	3	1	1	17	108.3	24909	1869	0.62		630	630
1	#	#	#	0	0	1	#	2	0.237	0.75	1	76.87	24984	1871	0.5		1086	1448
0	0	#	1	#	0	#	0	0	1	1	9	93.75	24949	1909	0.62		720	720
0	#	#	#	1	#	0	0	0	0.238	0.75	4	91.89	24953	1913	0.5		1081	1441
1	0	#	0	#	1	#	1	3	1	1	16	131.1	24986	1922	0.62		721	721
#	1	0	#	1	#	0	0	0	0.237	0.75	2	96.25	24953	1964	0.62		539	719
#	1	#	0	1	0	0	#	0	0.236	0.749	1	91	24953	2031	0.62		538	718
#	0	#	1	#	1	#	1	1	0.238	0.75	2	85.31	24976	2067	0.5		1076	1434
0	0	#	1	#	1	#	1	1	1	1	6	101.78	24931	2084	0.62		715	715
1	#	#	#	0	#	0	1	3	0.238	0.751	3	103.08	24986	2089	0.5		1075	1432
0	#	0	#	1	0	0	#	0	1	1	9	114.87	24953	2090	0.62		715	715
1	0	0	0	#	0	#	#	2	0.237	0.75	4	63.18	24958	2230	0.62		533	711
0	#	#	1	#	1	#	1	1	0.238	0.75	2	90.43	24934	2323	0.5		1064	1418
#	0	1	0	0	1	0	#	3	1	1	11	122.27	24986	2388	0.75		353	353
#	0	1	0	#	0	#	0	2	1	1	10	126.88	24925	2518	0.62		700	700
0	#	0	#	1	#	0	#	0	0.238	0.75	2	103.83	24953	2681	0.5		1045	1393
1	#	1	#	#	0	#	#	2	0.237	0.75	4	83.16	24984	2696	0.38		2091	2788
0	#	0	#	1	#	0	0	0	1	1	12	111.22	24953	2700	0.62		696	696
#	0	0	1	0	1	0	#	1	1	1	7	101.81	24991	2719	0.75		348	348
1	1	#	1	#	0	#	0	2	1	1	9	119.62	24912	2791	0.62		694	694
0	#	0	#	1	1	1	#	1	1	1	17	121.89	24983	2804	0.62		692	692
#	0	0	1	#	1	#	1	1	1	1	11	101.91	24976	2960	0.62		688	688
0	0	#	1	1	#	1	1	1	1	1	6	91.8	24897	3018	0.75		342	342
0	0	#	1	0	0	1	#	0	1	1	6	98.81	24791	3022	0.75		341	341
0	1	#	0	1	0	0	#	0	1	1	3	110.96	24953	3024	0.75		343	343
1	#	1	#	0	1	0	#	3	1	1	9	124.78	24986	3041	0.62		684	684
#	1	0	0	#	1	1	#	1	0.238	0.751	1	97.99	24983	3145	0.62		512	682
0	1	#	0	0	0	1	#	0	1	1	3	79.24	24924	3164	0.75		342	342
0	#	0	#	0	#	0	1	1	1	1	11	117.19	24952	3192	0.62		680	680
0	#	0	#	0	0	1	#	0	1	1	9	86.19	24963	3440	0.62		674	674
1	#	#	1	0	1	0	#	3	0.237	0.75	2	88.97	24947	3553	0.62		500	667
0	1	#	0	0	1	0	#	1	1	1	1	87.65	24804	3556	0.75		333	333
#	0	1	0	1	#	1	1	3	1	1	5	98.02	24936	3566	0.75		334	334
0	0	#	1	0	#	1	0	0	1	1	11	98.07	24992	3582	0.75		333	333
1	#	1	#	0	#	1	#	2	0.238	0.751	4	91.94	24984	3607	0.5		1003	1336
1	0	#	0	1	0	0	#	2	1	1	5	118.44	24925	3675	0.75		333	333
0	#	0	#	#	#	0	0	0	0.262	0.765	2	97.76	24953	3705	0.5		1080	1412
1	0	#	0	0	0	#	#	2	0.237	0.75	2	89.61	24958	3966	0.62		492	656
1	1	#	1	1	0	0	#	2	1	1	4	99.67	24975	3983	0.75		328	328
1	0	#	0	0	1	0	#	3	1	1	7	125.83	24986	3994	0.75		328	328
#	1	0	0	0	1	#	#	1	0.238	0.75	2	98.08	24946	4047	0.62		490	653
#	0	1	0	1	0	0	#	2	1	1	9	123.24	24925	4081	0.75		326	326
#	0	0	1	1	1	1	#	1	1	1	4	94.31	24929	4120	0.75		325	325
1	#	1	#	0	#	0	1	3	1	1	9	116.33	24986	4156	0.62		652	652
1	#	1	#	1	#	#	0	2	0.237	0.75	2	100.06	24956	4225	0.5		972	1296
1	1	#	1	1	#	0	0	2	1	1	7	109.71	24910	4416	0.75		322	322
1	0	#	0	0	#	0	1	3	1	1	8	128.48	24986	4462	0.75		321	321
1	0	#	0	#	1	#	#	3	0.238	0.75	2	104.51	24986	4462	0.5		964	1285
0	#	#	#	0	#	0	1	1	0.236	0.749	3	76.57	24952	4472	0.5		960	1281
#	1	0	#	1	1	1	#	1	0.237	0.75	2	97.74	24983	4503	0.62		480	640
0	1	#	0	0	#	0	1	1	1	1	8	100.39	24945	4561	0.75		318	318
0	#	0	#	1	#	1	1	1	1	1	8	89.9	24927	4573	0.62		638	638
#	1	0	0	0	1	0	#	1	1	1	4	101.16	24867	4580	0.75		317	317
#	0	0	1	0	0	1	#	0	1	1	3	81.29	24849	4625	0.75		316	316
#	0	1	0	0	0	1	#	2	1	1	8	104.09	24855	4631	0.75		316	316
#	0	0	1	#	0	#	0	0	1	1	11	90.53	24990	4774	0.62		632	632
0	1	#	0	1	1	1	#	1	1	1	6	109.25	24983	4874	0.75		314	314
#	0	1	0	1	1	1	#	3	1	1	5	91.62	24997	5029	0.75		312	312
#	1	0	0	0	#	0	1	1	1	1	2	99.99	24867	5101	0.75		309	309
#	0	#	0	0	0	1	#	2	0.237	0.75	4	83.42	24958	5143	0.62		464	619
#	0	0	1	0	#	1	0	0	1	1	4	92.8	24992	5559	0.75		303	303
#	0	0	#	1	1	1	#	1	0.236	0.749	1	89.39	24929	5563	0.62		454	606
0	1	#	0	#	0	#	0	0	1	1	4	96.91	24995	5624	0.62		606	606
1	#	1	#	0	#	1	0	2	1	1	11	116.32	24984	5806	0.62		599	599
1	1	#	1	0	1	0	#	3	1	1	9	115.86	24801	5820	0.75		299	299
0	#	#	#	#	0	#	0	0	0.25	0.758	4	88.92	24995	5826	0.38		1869	2467
1	0	#	0	1	1	1	#	3	1	1	7	101.09	24962	5982	0.75		297	297
1	#	1	#	1	#	0	0	2	1	1	8	101.56	24956	6012	0.62		594	594
0	#	0	#	1	#	1	#	1	0.237	0.75	4	88.12	24983	6067	0.5		887	1183
#	0	1	0	#	1	#	1	3	1	1	10	110.1	24986	6081	0.62		591	591
1	0	1	1	0	#	1	#	2	0.24	0.752	1	78.41	24984	6117	0.75		221	294
#	1	0	0	#	1	#	1	1	1	1	13	112.71	24946	6171	0.62		587	587
1	1	#	1	#	1	#	1	3	1	1	11	96.32	24994	6183	0.62		512	512
1	#	1	#	1	0	0	#	2	1	1	17	113.08	24956	6268	0.62		585	585
#	0	0	#	#	0	#	0	0	0.262	0.765	4	84.35	24990	6302	0.5		950	1242
#	1	0	0	0	0	1	#	0	1	1	1	77.11	24957	6492	0.75		290	290
#	1	0	#	0	#	0	1	1	0.237	0.75	1	89.92	24934	6502	0.62		432	576
#	0	1	0	#	1	#	#	3	0.239	0.751	1	88.55	24997	6504	0.5		868	1156
#	#	0	1	0	#	1	0	0	0.236	0.749	3	66.59	24992	6556	0.62		433	578
1	0	#	#	#	0	#	0	2	0.238	0.75	3	100.19	24984	6596	0.5		862	1149
#	0	1	0	#	0	0	#	2	0.237	0.75	3	101.27	24925	6641	0.62		428	571
0	1	1	1	#	#	0	0	2	0.236	0.749	1	57.49	24861	6649	0.75		215	287
#	1	1	1	#	1	#	1	3	1	1	15	92.11	24994	6714	0.62		499	499
#	#	1	1	0	1	0	#	3	0.237	0.75	2	73.32	24993	6817	0.62		426	568
0	1	#	0	#	1	#	1	1	1	1	9	110.57	24946	6859	0.62		567	567
#	1	#	0	0	1	0	#	1	0.237	0.75	4	79.23	24867	6884	0.62		422	563
0	0	#	#	1	1	1	#	1	0.233	0.747	2	78.65	24857	6950	0.62		420	562
#	1	0	0	#	#	#	0	0	0.238	0.75	2	94.24	24995	7212	0.5		835	1113
1	#	1	#	#	0	0	#	2	0.236	0.749	2	87.55	24956	7292	0.5		829	1107
0	0	#	1	#	0	#	#	0	0.236	0.749	1	75.04	24949	7362	0.5		824	1100
0	0	1	1	0	#	1	#	0	0.237	0.75	1	61.04	24830	7422	0.75		204	272
#	0	0	1	1	0	0	#	0	1	1	9	94.26	24989	7581	0.75		273	273
#	#	1	#	0	1	0	0	3	0.237	0.75	3	51.93	24993	7585	0.62		408	544
0	#	#	0	1	0	0	#	0	0.237	0.75	4	106.63	24953	7888	0.62		401	535
#	1	1	1	1	#	1	1	3	1	1	5	67.18	24977	7891	0.75		200	200
#	1	1	1	1	1	1	#	3	1	1	7	82.98	24909	7951	0.75		200	200
0	1	#	0	0	#	1	0	0	1	1	8	90.74	24919	8023	0.75		265	265
#	1	0	0	1	1	1	#	1	1	1	3	100.66	24983	8199	0.75		263	263
0	#	#	#	1	0	0	1	0	0.237	0.75	1	61.86	24941	8234	0.62		393	524
1	1	#	1	0	#	0	1	3	1	1	6	93.51	24932	8292	0.75		260	260
0	#	0	0	#	0	0	#	0	0.284	0.777	2	110.53	24953	8293	0.62		457	588
0	1	#	#	0	#	1	0	0	0.239	0.751	3	81.12	24963	8427	0.62		389	518
1	1	#	1	#	#	0	0	2	0.24	0.751	1	99.05	24910	8437	0.62		387	515
#	1	0	#	#	1	#	1	1	0.238	0.751	4	106.74	24946	8497	0.5		771	1027
#	1	0	0	0	#	#	1	1	0.237	0.75	1	79.43	24946	8896	0.62		377	503
#	0	1	0	0	#	1	0	2	1	1	7	103.43	24930	8968	0.75		249	249
0	#	0	#	0	#	0	#	1	0.175	0.705	1	94.25	24952	8979	0.5		747	1059
#	1	#	1	0	#	0	1	3	0.236	0.749	3	86.51	24932	9020	0.62		373	498
#	1	0	0	0	#	0	#	1	0.236	0.749	2	86.26	24867	9167	0.62		370	494
1	1	#	1	0	0	1	#	2	1	1	4	94.94	24912	9295	0.75		245	245
#	0	1	0	1	1	#	#	3	0.237	0.75	2	79.07	24997	9381	0.62		366	488
#	1	#	1	0	0	1	#	2	0.236	0.749	2	75.81	24912	9477	0.62		364	486
#	#	1	0	0	1	0	#	3	0.238	0.751	4	102.84	24986	9556	0.62		361	481
#	0	1	#	#	0	#	0	2	0.238	0.75	2	113.28	24984	9668	0.5		718	957
1	1	#	1	1	#	0	#	2	0.239	0.751	4	93.32	24975	9717	0.62		359	478
0	0	#	1	1	#	#	0	0	0.239	0.751	2	76.98	24949	9783	0.62		356	474
#	1	0	0	1	#	1	#	1	0.237	0.75	1	80.19	24983	10057	0.62		351	468
1	1	#	1	1	1	1	#	3	1	1	7	84.45	24909	10165	0.75		173	173
0	1	1	0	1	#	0	#	0	0.236	0.749	2	52.53	24828	10192	0.75		173	231
1	1	#	1	1	#	1	1	3	1	1	6	69.84	24981	10195	0.75		173	173
#	1	1	1	0	1	0	#	3	1	1	5	97.51	24993	10258	0.75		229	229
#	#	0	0	0	1	0	#	1	0.232	0.747	4	86.84	24867	10275	0.62		342	458
1	#	#	#	0	#	1	0	2	0.237	0.75	2	77.02	24984	10414	0.5		683	911
#	1	1	1	1	#	0	0	2	1	1	4	113.84	24910	10489	0.75		227	227
#	1	1	1	0	0	#	#	2	0.239	0.751	2	82	24912	10559	0.62		338	450
0	1	#	0	#	#	#	1	1	0.237	0.75	3	74.56	24946	10961	0.5		657	876
1	0	#	0	1	#	1	1	3	1	1	2	99.3	24962	10971	0.75		219	219
#	1	#	0	1	#	0	0	0	0.234	0.748	2	91.47	24953	11090	0.62		326	436
1	0	#	0	0	#	1	0	2	1	1	1	105.36	24930	11225	0.75		214	214
1	#	#	#	1	#	1	1	3	0.211	0.732	4	69.03	24981	11227	0.5		591	807
0	0	#	1	1	1	1	#	1	1	1	6	89.2	24857	11252	0.75		214	214
#	1	#	1	1	0	0	#	2	0.239	0.751	1	83.41	24975	11253	0.62		323	430
#	1	0	#	#	1	1	1	1	0.238	0.751	1	105.49	24946	11313	0.62		319	425
0	1	1	0	1	#	#	0	0	0.237	0.75	1	50.65	24828	11346	0.75		159	212
0	0	#	1	#	1	#	#	1	0.237	0.75	2	75.72	24966	11435	0.5		635	847
#	1	0	0	0	#	1	0	0	1	1	7	101.03	24957	11461	0.75		211	211
0	1	#	0	0	1	#	#	1	0.235	0.749	1	83.14	24946	11473	0.62		316	422
0	#	#	0	#	0	#	0	0	0.264	0.766	3	95.66	24995	11504	0.5		685	894
#	1	#	0	#	0	#	0	0	0.238	0.751	4	88.9	24995	11504	0.5		635	846
0	1	1	0	#	#	1	1	1	0.232	0.746	1	44.65	24842	11627	0.75		156	209
0	1	1	0	1	#	#	1	1	0.239	0.751	1	49.35	24842	11627	0.75		157	209
1	0	#	0	0	#	0	#	3	0.239	0.751	2	112.19	24986	11630	0.62		314	418
0	0	1	1	#	0	0	#	0	0.239	0.751	1	55.56	24949	11637	0.75		157	209
1	#	#	#	0	1	0	#	3	0.237	0.75	4	98.4	24986	11655	0.5		626	835
1	1	#	1	0	#	0	#	3	0.239	0.751	2	83.33	24932	11708	0.62		311	414
#	#	1	#	0	0	1	#	2	0.238	0.751	3	78.66	24984	11781	0.5		620	826
0	1	#	0	#	1	1	#	1	0.237	0.75	1	96.03	24983	11786	0.62		309	412
#	#	1	#	1	1	1	0	3	0.239	0.751	3	63.55	24997	11824	0.62		308	410
#	1	#	0	#	1	#	1	1	0.239	0.751	3	94.34	24946	11979	0.5		610	812
#	0	#	1	0	#	0	1	1	0.235	0.749	4	83.93	24907	11998	0.62		304	406
#	1	1	1	1	#	#	0	2	0.235	0.749	2	107.22	24910	12025	0.62		304	406
0	1	#	#	1	1	1	#	1	0.237	0.75	4	97.25	24983	12183	0.62		300	400
0	#	0	#	#	1	1	#	1	0.237	0.75	2	102.27	24983	12211	0.5		599	799
#	0	0	1	#	0	1	#	0	0.236	0.749	1	71.84	24886	12215	0.62		299	399
1	0	#	0	0	#	#	1	3	0.236	0.749	2	112.08	24986	12217	0.62		299	399
0	#	#	0	#	1	1	1	1	0.236	0.749	1	97.14	24946	12235	0.62		299	399
#	0	0	#	0	0	0	1	1	0.235	0.749	1	66.06	24952	12254	0.75		149	199
#	1	1	#	#	1	0	#	3	0.056	0.562	1	69.31	24994	12306	0.5		446	793
1	1	#	#	1	1	1	#	3	0.186	0.714	3	77.4	24909	12365	0.62		245	343
0	1	#	0	1	#	1	1	1	1	1	4	84.35	24927	12395	0.75		196	196
1	0	#	0	#	#	#	1	3	0.238	0.75	3	114.36	24986	12418	0.5		589	785
#	#	0	1	0	1	1	0	0	0.233	0.747	1	52.39	24992	12444	0.75		148	198
#	0	1	0	1	0	#	#	2	0.235	0.749	4	110.05	24925	12498	0.62		292	390
1	#	#	0	1	#	0	0	2	0.239	0.751	3	83.35	24985	12546	0.62		293	390
#	0	1	0	#	#	#	1	3	0.239	0.751	2	97.82	24986	12833	0.5		571	760
1	0	#	#	0	#	0	1	3	0.238	0.751	4	113.53	24986	12841	0.62		286	381
#	#	1	1	1	1	1	#	3	0.186	0.714	3	78.18	24909	12877	0.62		235	329
0	0	#	1	#	1	0	#	1	0.239	0.751	1	73.44	24966	12881	0.62		284	378
1	0	#	0	#	#	0	1	3	0.238	0.751	1	119.67	24986	12910	0.62		283	377
#	0	0	1	1	#	1	1	1	1	1	8	94.34	24974	12942	0.75		188	188
#	#	0	#	1	0	0	1	0	0.237	0.75	2	60.86	24989	12957	0.62		282	376
#	0	0	1	#	0	#	#	0	0.236	0.749	2	70.91	24990	12983	0.5		562	750
#	1	1	1	1	0	0	#	2	1	1	2	103.65	24875	13067	0.75		187	187
#	0	#	0	1	1	1	#	3	0.241	0.752	3	86.33	24997	13150	0.62		279	371
1	0	#	0	#	#	1	0	2	0.237	0.75	2	92.8	24930	13273	0.62		273	364
#	1	#	0	0	#	1	0	0	0.238	0.751	1	85.36	24957	13291	0.62		274	365
#	0	#	1	1	1	0	0	0	0.231	0.746	3	55.12	24903	13383	0.75		135	181
#	#	0	#	0	0	1	#	0	0.236	0.749	2	63.2	24963	13518	0.5		537	717
1	#	#	#	0	1	1	0	2	0.237	0.75	2	53.85	24979	13541	0.62		267	356
#	1	#	0	0	0	0	1	1	0.233	0.747	2	55.52	24945	13549	0.75		133	178
1	0	#	#	#	#	1	0	2	0.056	0.563	1	81.91	24984	13625	0.5		399	709
#	#	0	0	1	#	0	#	0	0.057	0.563	1	80.85	24953	13640	0.5		400	710
1	#	1	#	1	0	#	#	2	0.24	0.752	2	106.82	24956	13659	0.5		533	709
#	#	0	1	1	1	#	1	1	0.238	0.751	2	96.78	24929	13885	0.62		259	345
0	0	#	1	0	#	#	1	1	0.24	0.751	1	93.74	24863	13995	0.62		257	342
#	#	1	0	#	0	#	0	2	0.237	0.75	3	96.96	24925	13999	0.5		515	687
#	1	0	0	#	#	1	0	0	0.236	0.749	3	87.63	24995	14021	0.62		257	343
#	1	#	1	0	#	1	#	2	0.056	0.562	1	63.47	24979	14044	0.5		386	687
#	#	1	#	1	0	0	#	2	0.237	0.75	4	93.35	24956	14139	0.5		510	680
1	1	0	1	1	#	#	1	3	0.237	0.75	1	56.36	24981	14229	0.75		126	168
#	1	1	1	0	#	0	#	3	0.237	0.75	2	73.26	24993	14241	0.62		252	336
0	#	0	#	0	#	#	0	0	0.264	0.766	3	92.75	24992	14330	0.5		540	705
1	#	#	0	1	0	0	#	2	0.236	0.749	2	94.31	24925	14376	0.62		251	335
0	1	#	#	1	#	1	1	1	0.234	0.748	2	67.82	24927	14443	0.62		246	329
#	1	0	0	0	0	#	#	0	0.239	0.751	3	74.35	24957	14461	0.62		247	329
0	#	#	1	0	#	1	0	0	0.237	0.75	2	82.29	24992	14496	0.62		246	328
0	1	#	#	0	0	0	1	1	0.235	0.748	1	56.96	24945	14528	0.75		122	163
#	0	#	0	0	1	0	#	3	0.24	0.752	1	111.06	24986	14536	0.62		245	326
1	#	#	#	1	0	0	1	2	0.235	0.748	2	57.96	24975	14632	0.62		244	326
#	#	0	#	1	#	0	0	0	0.238	0.75	2	79.54	24953	14664	0.5		484	645
#	1	1	#	#	1	#	1	3	0.211	0.733	2	79.58	24994	14678	0.5		441	602
0	0	#	1	1	0	0	#	0	1	1	2	91.89	24949	14709	0.75		161	161
#	0	0	1	1	0	#	#	0	0.239	0.751	3	77.57	24989	14749	0.62		241	321
1	1	1	#	1	#	1	#	3	0.185	0.713	2	91.33	24909	14769	0.62		199	279
0	#	#	1	#	1	#	#	1	0.057	0.564	1	69.92	24966	14867	0.38		713	1265
0	#	0	0	1	#	#	1	1	0.236	0.749	1	92.91	24927	14899	0.62		236	315
1	1	#	1	#	0	#	#	2	0.237	0.75	2	77.67	24975	14924	0.5		473	631
#	0	#	1	1	0	0	#	0	0.239	0.751	3	82.47	24989	14957	0.62		238	317
1	#	1	#	0	#	#	0	2	0.237	0.75	2	100.57	24984	15000	0.5		468	624
0	0	#	1	#	#	1	0	0	0.236	0.749	3	78.39	24992	15031	0.62		233	311
0	1	#	#	1	0	0	#	0	0.235	0.748	2	90.69	24953	15056	0.62		232	310
1	1	0	0	0	#	#	1	1	0.23	0.745	1	53.48	24867	15139	0.75		114	153
#	0	#	1	#	0	#	0	0	0.235	0.749	1	87.36	24990	15159	0.5		459	613
1	0	#	0	#	1	1	#	3	0.237	0.75	2	91.45	24962	15234	0.62		228	304
1	#	#	1	1	1	1	#	3	0.185	0.713	2	83.41	24909	15285	0.62		189	265
1	1	#	#	#	0	#	0	2	0.233	0.748	4	102.81	24912	15392	0.5		450	602
1	#	#	1	#	0	#	0	2	0.237	0.75	3	99.84	24984	15530	0.5		443	591
#	1	1	1	1	#	1	#	3	0.188	0.716	3	76.36	24977	15571	0.62		184	257
0	#	#	0	#	#	#	0	0	0.064	0.577	1	75.78	24995	15600	0.38		698	1210
1	#	#	0	1	0	1	1	3	0.232	0.747	1	50.85	24860	15644	0.75		109	146
#	0	#	0	1	0	0	#	2	0.237	0.75	1	102.16	24925	15656	0.62		219	292
1	1	#	#	1	1	1	0	3	0.232	0.747	1	68.59	24909	15664	0.75		109	146
1	#	1	#	0	#	#	1	3	0.236	0.749	1	93.62	24986	15676	0.5		436	582
0	#	0	0	#	#	0	0	0	0.288	0.78	2	104.69	24953	15688	0.62		255	327
0	#	#	0	0	#	0	1	1	0.233	0.747	2	81.53	24952	15736	0.62		216	289
1	#	#	#	0	0	#	#	2	0.056	0.562	1	66.02	24984	15768	0.38		649	1154
#	0	0	1	#	#	#	1	1	0.237	0.75	4	74.21	24976	15792	0.5		431	575
#	#	0	0	1	1	1	#	1	0.235	0.748	4	93.12	24983	15837	0.62		214	286
#	#	0	#	#	#	0	0	0	0.064	0.576	1	68.57	24990	16134	0.38		656	1138
1	#	1	0	#	0	#	#	2	0.24	0.752	1	87.25	24968	16160	0.5		415	552
1	0	#	0	1	#	#	1	3	0.237	0.75	2	95.77	24962	16258	0.62		204	272
#	#	1	1	1	0	1	1	3	0.237	0.75	2	53.01	24977	16273	0.75		102	136
1	#	1	1	0	#	#	0	2	0.239	0.751	1	101.28	24984	16275	0.62		205	273
#	#	0	#	0	#	1	0	0	0.236	0.749	1	72.79	24992	16284	0.5		409	546
1	1	#	1	1	1	#	#	3	0.184	0.713	2	85.51	24994	16309	0.62		169	237
#	1	1	1	1	#	0	#	2	0.236	0.749	3	100.37	24910	16377	0.62		203	271
0	0	1	1	#	#	0	1	1	0.234	0.748	2	54.14	24931	16415	0.75		101	135
#	#	1	0	0	#	0	1	3	0.237	0.75	1	101	24986	16417	0.62		201	268
1	0	#	0	0	#	#	0	2	0.234	0.748	2	87.76	24930	16441	0.62		199	266
#	0	0	1	1	#	#	1	1	0.23	0.745	2	80.05	24974	16481	0.62		199	267
1	0	0	1	#	#	#	1	1	0.236	0.749	1	62.06	24976	16481	0.62		200	267
#	#	0	#	#	0	0	#	0	0.064	0.577	1	74.46	24990	16485	0.38		634	1098
#	1	1	1	0	#	0	1	3	1	1	6	90.57	24892	16670	0.75		129	129
#	0	0	#	1	#	#	1	1	0.056	0.561	1	73.64	24974	16782	0.5		288	513
#	1	#	1	1	#	1	1	3	0.188	0.716	2	63.28	24981	16785	0.62		161	225
#	#	1	1	#	1	#	1	3	0.212	0.733	2	87.12	24994	16802	0.5		352	480
0	0	0	#	1	0	#	#	0	0.236	0.749	1	90.48	24941	16808	0.62		191	255
#	0	#	1	1	#	1	1	1	0.236	0.749	3	80.07	24974	16827	0.62		191	255
#	1	#	1	0	1	0	#	3	0.233	0.747	4	89.57	24993	16858	0.62		189	253
0	#	0	1	0	#	#	1	1	0.24	0.752	1	95.08	24934	16862	0.62		191	254
#	0	1	0	1	#	0	0	2	1	1	4	116.94	24925	16898	0.75		125	125
#	#	1	1	1	#	0	0	2	0.237	0.75	2	93.04	24956	16974	0.62		189	252
0	#	#	1	1	0	0	1	0	0.24	0.752	1	56.99	24941	17005	0.75		94	125
1	0	0	0	#	#	#	0	2	0.231	0.746	1	56.42	24985	17198	0.62		182	244
0	#	#	0	0	0	#	#	0	0.07	0.588	1	63.38	24982	17271	0.5		303	515
1	#	1	#	1	#	0	#	2	0.237	0.75	3	92.53	24956	17276	0.5		363	484
#	0	0	#	1	0	0	#	0	0.239	0.751	2	81.87	24989	17309	0.62		181	241
#	0	0	1	0	1	#	#	1	0.232	0.747	2	81.1	24991	17311	0.62		180	241
#	0	0	1	#	1	#	#	1	0.236	0.749	1	75.27	24991	17328	0.5		359	479
1	#	#	0	0	#	0	1	3	0.236	0.749	3	108.02	24986	17337	0.62		179	239
